MINE_ID|MINE_NAME|MINE_TYPE|MINE_STATUS|OPERATOR_NAME|OPERATOR_GROUP|CONTROLLER_NAME|STATE|COUNTY|LATITUDE|LONGITUDE|REGION_CODE|PRIMARY_SIC|PRIMARY_CANVASS|NO_EMPLOYEES|NEAREST_TOWN
2700419|Central NH Aggregates, LLC|Surface|Active|Central NH Aggregates, LLC|OTHER|Micheal E  Latulippe|NH|Grafton|43.803889|-71.862778|OTHER|Construction Sand and Gravel|SandAndGravel|3|Rumney
2700420|Portable Unit #2|Surface|Intermittent|Big Foote Crushing LLC|OTHER|Ernest J  Thibeault III|NH|Merrimack|43.138333|-71.704167|OTHER|Construction Sand and Gravel|SandAndGravel|4|Weare
2700422|Portable Plant #1|Surface|Intermittent|Jeremy Hiltz Excavating Inc|OTHER|Jeremy J  Hiltz|NH|Grafton|43.730833|-71.629444|OTHER|Construction Sand and Gravel|SandAndGravel|1|Ashland
2700424|METSO LT120|Surface|Active|F L Merrill Construction Incorporated|OTHER|Frank L  Merrill|NH|Merrimack|43.180556|-71.490278|OTHER|Crushed, Broken Stone NEC|Stone|4|PEMBROKE
2700425|Bruce Robinson Company|Surface|Active|Bruce Robinson Company|OTHER|Bruce E  Robinson|NH|Carroll|43.865|-71.266389|OTHER|Construction Sand and Gravel|SandAndGravel|4|Tamworth
2700429|Astec Track Screen|Surface|Intermittent|AMBROSE BROS., INC.|OTHER|Robert P  Ambrose; Robert J  Ambrose|NH|Carroll|43.846944|-71.265278|OTHER|Construction Sand and Gravel|SandAndGravel|2|Meredith
2700430|Granite State Concrete Quarry|Surface|Intermittent|Granite State Concrete Co. Inc|OTHER|J G MacLellan Concrete Company Inc|NH|Hillsborough|42.864167|-71.7575|OTHER|Construction Sand and Gravel|SandAndGravel|4|Milford
2700434|Portable Crusher Crew|Surface|Active|St. Pierre, Inc.|OTHER|Charles W St Pierre; Albert A St Pierre; Jeremy  St Pierre|NH|Sullivan|43.304167|-72.392222|OTHER|Construction Sand and Gravel|SandAndGravel|6|Charlestown
2700435|Lima-1|Surface|Intermittent|Evans Brothers LLC|OTHER|Edward  Evans; Ronald J  Evans|NH|Carroll|43.598611|-71.197778|OTHER|Sand, Common|SandAndGravel|2|WOLFBORO
2700436|Aggregate Based Products|Surface|Active|Champagne Solutions LLC|OTHER|Mark W  Champagne|NH|Grafton|44.276111|-71.811667|OTHER|Construction Sand and Gravel|SandAndGravel|5|Sugarhill
2700437|Hartl-Model PC1265J-Portable Crusher|Surface|Intermittent|Presby Construction Inc|OTHER|Trevor  Presby; Thaddeus  Presby|NH|Grafton|44.216389|-71.807778|OTHER|Construction Sand and Gravel|SandAndGravel|2|SUGAR HILL
2700440|Lancaster Plant 155|Surface|Intermittent|Peckham Materials Corp|OTHER|Peckham Industries Inc|NH|Coos|44.498611|-71.574722|OTHER|Construction Sand and Gravel|SandAndGravel|2|Lancaster
2700443|Shannon Road Pit|Surface|Intermittent|George E Merrill & Sons Inc|OTHER|George E  Merrill|NH|Rockingham|42.815278|-71.191389|OTHER|Construction Sand and Gravel|SandAndGravel|3|Salem
2700444|New Boston Sand & Stone|Surface|Intermittent|Thibeault Corp.|OTHER|Ernest J  Thibeault III|NH|Hillsborough|43.015278|-71.6525|OTHER|Construction Sand and Gravel|SandAndGravel|1|New Boston
2700445|Portable Roadrunner|Surface|Intermittent|Graves Trucking Inc.|OTHER|Timothy S  Graves|NH|Cheshire|43.026944|-72.424444|OTHER|Crushed, Broken Stone NEC|Stone|2|Walpole
2700446|CEC Track Road Runner|Surface|Intermittent|Graves Trucking Inc.|OTHER|Timothy S  Graves|NH|Cheshire|43.026944|-72.424444|OTHER|Crushed, Broken Stone NEC|Stone|2|Walpole
2700447|Portable Nordberg Jaw Crusher|Surface|Intermittent|Graves Trucking Inc|OTHER|Timothy S  Graves|NH|Cheshire|43.020833|-72.433611|OTHER|Crushed, Broken Stone NEC|Stone|2|Walpole
2700448|Mitchell Materials- Winchester|Surface|Active|Mitchell Materials, LLC.|OTHER|All States Materials Group|NH|Cheshire|42.8425|-72.354167|OTHER|Crushed, Broken Stone NEC|Stone|6|Winchester NH
2700451|Mason Enterprises|Surface|Intermittent|Mason Enterprises|OTHER|Harley E  Mason Jr|NH|Coos|44.629722|-71.344722|OTHER|Construction Sand and Gravel|SandAndGravel|3|Stark
2700453|R&D Trucking Co.|Surface|Intermittent|R&D Trucking Co.|OTHER|Raymond J  Johnson|NH|Hillsborough|43.014444|-71.655833|OTHER|Construction Sand and Gravel|SandAndGravel|1|Weare
2700459|Unity Stone Quarry|Surface|Intermittent|Julian Materials LLC|OTHER|Andrew C  Julian; Jason B  Julian|NH|Sullivan|43.268333|-72.279167|OTHER|Construction Sand and Gravel|SandAndGravel|2|Unity
2700461|Clarke & Co. Earthworks Contractors|Surface|Active|Clarke & Co. Earthworks Contractors|OTHER|Kenneth R  Clarke|NH|Merrimack|43.466389|-71.895|OTHER|Construction Sand and Gravel|SandAndGravel|3|Danbury
2700462|Gowen Quarry|Surface|Intermittent|Cold River Granite|OTHER|Chris J  Bishop|NH|Sullivan|43.185556|-72.274444|OTHER|Construction Sand and Gravel|SandAndGravel|2|Acworth
2700465|Nick's Aggregates|Surface|Intermittent|CHIEF CRUSHING & EXCAVATION INC|OTHER|Clark S  Bogie|NH|Grafton|44.021667|-71.960556|OTHER|Construction Sand and Gravel|SandAndGravel|2|Pike
2700466|Bennington Pit|Surface|Intermittent|Francestown Sand & Gravel, Inc.|OTHER|Kris N  Stewart; Joshua K  Stewart|NH|Hillsborough|43.0075|-71.906111|OTHER|Construction Sand and Gravel|SandAndGravel|2|Bennington
2700467|D.H. Hardwick + Sons, Inc.|Surface|Intermittent|D.H. Hardwick + Sons, Inc.|OTHER|Teresa J  Hardwick|NH|Hillsborough|43.011111|-71.900278|OTHER|Construction Sand and Gravel|SandAndGravel|2|Antrim
2700468|Stephen Mariano|Surface|Intermittent|Stephen Mariano|OTHER|Stephen G  Mariano|NH|Hillsborough|42.78|-71.926111|OTHER|Construction Sand and Gravel|SandAndGravel|1|New Ipswich
2700471|Metso Portable|Surface|Intermittent|Hartmann Enterprises|OTHER|Richard C  Hartmann; Frank A  Hartmann|NH|Rockingham|42.983056|-70.958611|OTHER|Construction Sand and Gravel|SandAndGravel|2|Exeter
2700475|Hilltop Quarry|Surface|Intermittent|Presby Construction Inc.|OTHER|Trevor  Presby; Thaddeus  Presby|NH|Grafton|43.998611|-72.011111|OTHER|Dimension Sandstone|Stone|3|Piermont
2700476|Woodstock Sand & Gravel|Surface|Intermittent|Caulder Construction LLC|OTHER|Rex A  Caulder|NH|Grafton|44.030833|-71.702222|OTHER|Construction Sand and Gravel|SandAndGravel|2|Woodstock
2700480|D.L. Docko & Son, LLC|Surface|Intermittent|D.L. Docko & Son, LLC|OTHER|David L  Docko|NH|Rockingham|43.220556|-71.228056|OTHER|Construction Sand and Gravel|SandAndGravel|4|Northwood
2700482|cedar rapids & telsmith|Surface|Intermittent|laurent rancourt|OTHER|Laurent  Rancourt|NH|Coos|45.005278|-71.453056|OTHER|Construction Sand and Gravel|SandAndGravel|3|Clarksville
2700483|extec 3107|Surface|Intermittent|laurent rancourt|OTHER|Laurent  Rancourt|NH|Coos|45.005278|-71.453056|OTHER|Construction Sand and Gravel|SandAndGravel|3|Clarksville
2700485|Fuzzy Brothers LLC|Surface|Intermittent|Fuzzy Brothers LLC|OTHER|Benjamin  Northcott; Daniel  Northcott|NH|Cheshire|43.107778|-72.379444|OTHER|Construction Sand and Gravel|SandAndGravel|43|Walpole
2700487|Grafton Pit|Surface|Intermittent|Green Oak Realty Development LLC|OTHER|Keith A  Babb|NH|Grafton|43.591389|-71.970556|OTHER|Construction Sand and Gravel|SandAndGravel|2|Grafton
2700489|ALTON PIT|Surface|Intermittent|GREEN OAK REALTY DEVELOPMENT LLC|OTHER|Keith A  Babb|NH|Belknap|43.427222|-71.208333|OTHER|Construction Sand and Gravel|SandAndGravel|2|Alton
2700490|Plant # 2|Surface|Intermittent|Fuzzy Brothers LLC|OTHER|Benjamin  Northcott; Daniel  Northcott|NH|Cheshire|43.107778|-72.379444|OTHER|Construction Sand and Gravel|SandAndGravel|2|Walpole
2700491|Garland Pit|Surface|Active|JP Trucking & Excavating LLC|OTHER|Joshua M  Perry|NH|Cheshire|43.127778|-72.348333|OTHER|Construction Sand and Gravel|SandAndGravel|2|Alstead
